  UNIT                                                                                                                                                        LOAD      ACTIVE   SUB       DESCRIPTION
  dev-sdc.device                                                                                                                                              loaded    active   plugged   Samsung_SSD_870_EVO_1TB
  dev-sdc1.device                                                                                                                                             loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-sdc2.device                                                                                                                                             loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-sdd.device                                                                                                                                              loaded    active   plugged   Samsung_SSD_840_EVO_120GB
  dev-sdd1.device                                                                                                                                             loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-sdd2.device                                                                                                                                             loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-snd-by\x2did-usb\x2dFocusrite_Scarlett_2i2_USB\x2d00.device                                                                                             loaded    active   plugged   Scarlett_2i2_USB
  dev-snd-by\x2dpath-pci\x2d0000:07:00.1.device                                                                                                               loaded    active   plugged   /dev/snd/by-path/pci-0000:07:00.1
  dev-snd-by\x2dpath-pci\x2d0000:09:00.3\x2dusb\x2d0:1:1.0.device                                                                                             loaded    active   plugged   Scarlett_2i2_USB
  dev-snd-by\x2dpath-pci\x2d0000:09:00.3\x2dusbv2\x2d0:1:1.0.device                                                                                           loaded    active   plugged   Scarlett_2i2_USB
  dev-snd-by\x2dpath-pci\x2d0000:09:00.4.device                                                                                                               loaded    active   plugged   /dev/snd/by-path/pci-0000:09:00.4
  dev-snd-controlC0.device                                                                                                                                    loaded    active   plugged   Scarlett_2i2_USB
  dev-snd-controlC1.device                                                                                                                                    loaded    active   plugged   /dev/snd/controlC1
  dev-snd-controlC2.device                                                                                                                                    loaded    active   plugged   /dev/snd/controlC2
  dev-tpm0.device                                                                                                                                             loaded    active   plugged   /dev/tpm0
  dev-tpmrm0.device                                                                                                                                           loaded    active   plugged   /dev/tpmrm0
  dev-ttyS0.device                                                                                                                                            loaded    active   plugged   /dev/ttyS0
  dev-ttyS1.device                                                                                                                                            loaded    active   plugged   /dev/ttyS1
  dev-ttyS2.device                                                                                                                                            loaded    active   plugged   /dev/ttyS2
  dev-ttyS3.device                                                                                                                                            loaded    active   plugged   /dev/ttyS3
